Schedule,Depth,Operator Name,State Details
1,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 39), ('R2', 26)) (OUTPUTS (('R1', 39), ('R21', 13), (""R21'"", 13)))  EU: 0.6067484993188937"
1,2,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 18), ('R4', 6), ('R7', 6), ('R21', 12)) (OUTPUTS (('R1', 18), ('R27', 6), (""R27'"", 6)))  EU: 2.898594050122694"
1,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 21), ('R2', 14)) (OUTPUTS (('R1', 21), ('R21', 7), (""R21'"", 7)))  EU: 3.2229201491554833"
1,4,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 12), ('R4', 4), ('R7', 4), ('R21', 8)) (OUTPUTS (('R1', 12), ('R27', 4), (""R27'"", 4)))  EU: 4.427329627196484"
1,5,alloys_transform,"(TRANSFORM Brobdingnag (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 2.8066314441411793"
,,,
2,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 0.41224491627652204"
2,2,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 12), ('R4', 4), ('R7', 4), ('R21', 8)) (OUTPUTS (('R1', 12), ('R27', 4), (""R27'"", 4)))  EU: 1.8723455475303168"
2,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 21), ('R2', 14)) (OUTPUTS (('R1', 21), ('R21', 7), (""R21'"", 7)))  EU: 2.2561489579281364"
2,4,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 12), ('R4', 4), ('R7', 4), ('R21', 8)) (OUTPUTS (('R1', 12), ('R27', 4), (""R27'"", 4)))  EU: 3.547029501337373"
2,5,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R2', 6)) (OUTPUTS (('R1', 9), ('R21', 3), (""R21'"", 3)))  EU: 3.538313452593066"
,,,
3,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 30), ('R2', 20)) (OUTPUTS (('R1', 30), ('R21', 10), (""R21'"", 10)))  EU: 0.41224491627652204"
3,2,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 12), ('R4', 4), ('R7', 4), ('R21', 8)) (OUTPUTS (('R1', 12), ('R27', 4), (""R27'"", 4)))  EU: 1.8723455475303168"
3,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 21), ('R2', 14)) (OUTPUTS (('R1', 21), ('R21', 7), (""R21'"", 7)))  EU: 2.2561489579281364"
3,4,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R4', 3), ('R7', 3), ('R21', 6)) (OUTPUTS (('R1', 9), ('R27', 3), (""R27'"", 3)))  EU: 3.1962210015973627"
3,5,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 3), ('R4', 1), ('R7', 1), ('R21', 2)) (OUTPUTS (('R1', 3), ('R27', 1), (""R27'"", 1)))  EU: 3.351349223185259"
,,,
4,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 18), ('R2', 12)) (OUTPUTS (('R1', 18), ('R21', 6), (""R21'"", 6)))  EU: 0.17981102494371487"
4,2,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R4', 3), ('R7', 3), ('R21', 6)) (OUTPUTS (('R1', 9), ('R27', 3), (""R27'"", 3)))  EU: 1.1782363134528802"
4,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 39), ('R2', 26)) (OUTPUTS (('R1', 39), ('R21', 13), (""R21'"", 13)))  EU: 2.017073863104112"
4,4,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 18), ('R4', 6), ('R7', 6), ('R21', 12)) (OUTPUTS (('R1', 18), ('R27', 6), (""R27'"", 6)))  EU: 4.022418109081476"
4,5,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 3), ('R2', 2)) (OUTPUTS (('R1', 3), ('R21', 1), (""R21'"", 1)))  EU: 3.8676693402819353"
,,,
5,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 18), ('R2', 12)) (OUTPUTS (('R1', 18), ('R21', 6), (""R21'"", 6)))  EU: 0.17981102494371487"
5,2,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 39), ('R2', 26)) (OUTPUTS (('R1', 39), ('R21', 13), (""R21'"", 13)))  EU: 0.9643002189987817"
5,3,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 27), ('R4', 9), ('R7', 9), ('R21', 18)) (OUTPUTS (('R1', 27), ('R27', 9), (""R27'"", 9)))  EU: 4.248449789520793"
5,4,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 3), ('R2', 2)) (OUTPUTS (('R1', 3), ('R21', 1), (""R21'"", 1)))  EU: 4.086673516135514"
5,5,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 3), ('R4', 1), ('R7', 1), ('R21', 2)) (OUTPUTS (('R1', 3), ('R27', 1), (""R27'"", 1)))  EU: 4.193487552708169"
,,,
